Codigo municipio,Municipio,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,provincia,promedio,total_Suma_ano,pueblociudad,p33,p66,consumoProvincia,dif1502
20023,Berrobi,2411.14,8374.65,36029.7,37091.56,35876.25,37624.6,47023.18,58957.86,60024.39,64824.37,66353.73,68775.2,59297.3,68970.45,Gipuzkoa,46545.31285714286,651634.38,Pueblo,4173.691992857142,9100.15910714286,Alto,-66559.31
20003,Aizarnazabal,101231.41,106143.0,111945.62,95357.66,120703.86,127260.11,107453.11,136313.18,140479.44,139652.55,154155.67,159191.2,156092.21,166830.79,Gipuzkoa,130200.7007142857,1822809.8099999998,Ciudad,4173.691992857142,9100.15910714286,Alto,-65599.38
20018,Azpeitia,5297.03,5056.98,8354.2,12603.0,26063.97,49041.69,60215.32,57895.92,52615.77,55993.91,52811.26,56212.51,46566.32,45918.27,Gipuzkoa,38189.010714285716,534646.15,Pueblo,4173.691992857142,9100.15910714286,Alto,-40621.24
20058,Olaberria,641676.36,640347.72,584314.63,636580.32,611536.81,559803.66,376899.12,644624.13,733540.73,723935.14,705097.82,750196.53,722920.04,668938.96,Gipuzkoa,642886.5692857143,9000411.97,Ciudad,4173.691992857142,9100.15910714286,Alto,-27262.599999999977
20024,Bidania-Goiatz,11541.67,11310.44,10663.47,10841.22,11725.58,13278.9,14466.64,22180.6,28526.93,31688.04,32309.26,31557.25,30752.24,34126.41,Gipuzkoa,21069.18928571429,294968.65,Pueblo,4173.691992857142,9100.15910714286,Alto,-22584.740000000005
20074,Bergara,7759.32,7709.92,6994.57,7847.65,7729.88,7975.14,16293.64,28041.52,32198.76,31131.07,25345.4,33800.23,30963.79,29308.6,Gipuzkoa,19507.106428571427,273099.49,Pueblo,4173.691992857142,9100.15910714286,Alto,-21549.28
48097,Zaratamo,8136.56,7874.74,8535.16,9003.9,10258.36,11248.4,19911.73,16041.19,20960.07,25070.46,30022.39,29820.08,26768.73,25817.61,Bizkaia,17819.241428571433,249469.38000000006,Pueblo,3108.363542857143,6738.3684357142865,Alto,-17681.05
48029,Etxebarri,10735.8,9408.95,10463.81,12618.29,13689.44,15284.89,14992.94,21636.04,21586.78,22405.55,21953.66,22845.09,23083.15,24700.2,Bizkaia,17528.899285714284,245404.59,Pueblo,3108.363542857143,6738.3684357142865,Alto,-13964.400000000001
20044,Ikaztegieta,6150.02,6218.76,5936.7,6692.61,6237.16,5952.6,5288.08,6261.94,5675.88,4342.26,9524.21,10951.26,10173.54,19597.57,Gipuzkoa,7785.899285714286,109002.59,Pueblo,4173.691992857142,9100.15910714286,Medio,-13447.55
1058,Legutio,50151.14,50577.99,50211.83,52570.11,61092.11,59709.57,51795.41,73821.56,65992.58,64838.9,65680.94,65953.14,63040.52,63320.08,Álava,59911.134285714295,838755.8800000001,Ciudad,4090.7342857142858,10106.95,Alto,-13168.940000000002
20051,Legazpi,11022.51,11648.04,11130.05,10715.58,11228.48,10555.0,10081.78,26274.44,26100.03,25158.59,26566.6,30156.46,21909.74,23656.12,Gipuzkoa,18300.244285714285,256203.41999999998,Pueblo,4173.691992857142,9100.15910714286,Alto,-12633.609999999999
1018,Zigoitia,13224.36,13648.62,15038.86,15556.49,17391.52,18024.8,18739.66,21107.03,21575.98,23615.45,24836.76,25443.08,25999.79,25330.42,Álava,19966.630000000005,279532.82000000007,Pueblo,4090.7342857142858,10106.95,Alto,-12106.059999999998
20073,Usurbil,24989.53,26445.89,28509.97,30178.28,33446.31,34207.39,29758.37,38447.15,40096.1,38712.48,37266.9,37738.13,36219.34,36677.65,Gipuzkoa,33763.82071428571,472693.49,Pueblo,4173.691992857142,9100.15910714286,Alto,-11688.120000000003
48047,Gizaburuaga,11765.72,9622.7,10547.58,11806.22,14123.93,14185.67,13766.08,21070.71,20053.99,18300.14,18687.43,23560.53,25779.64,22355.8,Bizkaia,16830.43857142857,235626.14,Pueblo,3108.363542857143,6738.3684357142865,Alto,-10590.08
1054,Urkabustaiz,8140.13,8695.9,7896.32,8180.21,10230.35,9803.53,9381.26,13292.02,13823.28,13804.19,15384.16,16166.04,16829.73,18543.9,Álava,12155.072857142859,170171.02000000002,Pueblo,4090.7342857142858,10106.95,Alto,-10403.77
20080,Zumarraga,50697.97,49091.91,47509.1,49579.07,53585.17,56577.73,45270.76,45000.57,53834.12,59396.16,52384.14,54877.85,62683.29,61094.0,Gipuzkoa,52970.13142857143,741581.8400000001,Pueblo,4173.691992857142,9100.15910714286,Alto,-10396.029999999999
48080,Valle de Trápaga-Trapagaran,42946.57,43401.95,42633.48,41481.89,45744.67,44229.65,43052.29,59182.56,60877.18,61056.66,58027.18,57496.84,54707.66,51758.9,Bizkaia,50471.24857142858,706597.4800000001,Pueblo,3108.363542857143,6738.3684357142865,Alto,-8812.330000000002
48096,Zalla,11256.47,8962.9,9305.27,13835.64,14202.55,14961.63,18189.07,20512.74,20436.32,20279.37,19471.64,20493.24,20028.29,20008.6,Bizkaia,16567.409285714286,231943.72999999998,Pueblo,3108.363542857143,6738.3684357142865,Alto,-8752.13
48055,Lemoa,24575.03,21367.36,12157.83,17496.88,20135.27,26100.39,31426.6,34060.14,37860.52,39159.06,40097.36,31405.63,34458.45,33306.62,Bizkaia,28829.081428571426,403607.13999999996,Pueblo,3108.363542857143,6738.3684357142865,Alto,-8731.590000000004
48009,Arrankudiaga,5076.77,5068.77,5646.7,6213.87,6380.0,6645.11,7334.69,8392.49,10294.97,12396.05,12329.15,12645.13,13063.85,13630.98,Bizkaia,8937.037857142857,125118.53,Pueblo,3108.363542857143,6738.3684357142865,Alto,-8554.21
48059,Mañaria,8755.28,8072.47,7566.33,9954.17,10794.82,12990.84,13154.01,13505.89,15503.34,16321.52,15557.24,16173.36,17200.83,16797.23,Bizkaia,13024.80928571429,182347.33000000005,Pueblo,3108.363542857143,6738.3684357142865,Alto,-8041.949999999999
