Hora,Temperatura (°C),Humedad (%),Presión (hPa),dia,Velocidad del viento,Dirección del viento
00:00,10.5,65.0,1013.2,1,0,0.0
01:00,9.8,68.0,1012.8,1,0,0.0
02:00,9.2,70.0,1012.5,1,0,0.0
03:00,8.7,72.0,1012.3,1,0,0.0
04:00,8.3,74.0,1012.1,1,0,0.0
05:00,8.0,76.0,1012.0,1,0,0.0
06:00,7.8,78.0,1011.9,1,0,0.0
07:00,8.5,75.0,1012.1,1,0,0.0
08:00,9.2,72.0,1012.4,1,0,0.0
09:00,10.0,69.0,1012.7,1,0,0.0
10:00,11.5,66.0,1013.0,1,0,0.0
11:00,12.8,63.0,1013.3,1,0,0.0
12:00,13.5,60.0,1013.5,1,0,0.0
13:00,14.0,58.0,1013.7,1,0,0.0
14:00,14.5,56.0,1013.8,1,0,0.0
15:00,14.8,55.0,1013.9,1,0,0.0
16:00,14.5,56.0,1013.8,1,0,0.0
17:00,14.0,58.0,1013.7,1,0,0.0
18:00,13.5,60.0,1013.5,1,0,0.0
19:00,12.8,63.0,1013.3,1,0,0.0
20:00,11.5,66.0,1013.0,1,0,0.0
21:00,10.0,69.0,1012.7,1,0,0.0
22:00,9.2,72.0,1012.4,1,0,0.0
23:00,8.5,75.0,1012.1,1,0,0.0
00:00,7.5,70.0,1012.1,2,0,0.0
01:00,7.0,72.0,1012.1,2,0,0.0
02:00,6.5,74.0,1012.1,2,0,0.0
03:00,6.2,76.0,1012.1,2,0,0.0
04:00,6.0,78.0,1012.1,2,0,0.0
05:00,5.8,80.0,1012.1,2,0,0.0
06:00,6.0,78.0,1012.1,2,0,0.0
07:00,6.5,76.0,1012.1,2,0,0.0
08:00,7.0,74.0,1012.1,2,0,0.0
09:00,7.5,72.0,1012.1,2,0,0.0
10:00,8.0,70.0,1012.1,2,0,0.0
11:00,8.5,68.0,1012.1,2,0,0.0
12:00,9.0,66.0,1012.1,2,0,0.0
13:00,9.5,64.0,1012.1,2,0,0.0
14:00,10.0,62.0,1012.1,2,0,0.0
15:00,10.5,60.0,1012.1,2,0,0.0
16:00,10.8,58.0,1012.1,2,0,0.0
17:00,11.0,56.0,1012.1,2,0,0.0
18:00,11.2,54.0,1012.1,2,0,0.0
19:00,11.0,56.0,1012.1,2,0,0.0
20:00,10.5,60.0,1012.1,2,0,0.0
21:00,10.0,62.0,1012.1,2,0,0.0
22:00,9.5,64.0,1012.1,2,0,0.0
23:00,9.0,66.0,1012.1,2,0,0.0
00:00,12.0,55.0,1014.0,3,0,0.0
01:00,11.5,57.0,1013.8,3,0,0.0
02:00,11.0,59.0,1013.6,3,0,0.0
03:00,10.5,61.0,1013.4,3,0,0.0
04:00,10.0,63.0,1013.2,3,0,0.0
05:00,9.5,65.0,1013.0,3,0,0.0
06:00,9.0,67.0,1012.8,3,0,0.0
07:00,8.5,69.0,1012.6,3,0,0.0
08:00,8.0,71.0,1012.4,3,0,0.0
09:00,7.5,73.0,1012.2,3,0,0.0
10:00,7.0,75.0,1012.0,3,0,0.0
11:00,6.5,77.0,1011.8,3,0,0.0
12:00,6.0,79.0,1011.6,3,0,0.0
13:00,5.5,81.0,1011.4,3,0,0.0
14:00,5.0,83.0,1011.2,3,0,0.0
15:00,4.5,85.0,1011.0,3,0,0.0
16:00,4.0,87.0,1010.8,3,0,0.0
17:00,3.5,89.0,1010.6,3,0,0.0
18:00,3.0,91.0,1010.4,3,0,0.0
19:00,2.5,93.0,1010.2,3,0,0.0
20:00,2.0,95.0,1010.0,3,0,0.0
21:00,1.5,97.0,1009.8,3,0,0.0
22:00,1.0,99.0,1009.6,3,0,0.0
23:00,0.5,100.0,1009.4,3,0,0.0
00:00:00,0.5,100.0,1009.4,1,0,234.0
00:15:00,0.5,100.0,1009.4,1,0,234.0
00:30:00,0.5,100.0,1009.4,1,0,234.0
00:45:00,0.5,100.0,1009.4,1,0,234.0
01:00:00,0.5,100.0,1009.4,1,0,234.0
01:15:00,0.5,100.0,1009.4,1,0,234.0
01:30:00,0.5,100.0,1009.4,1,0,234.0
01:45:00,0.5,100.0,1009.4,1,0,234.0
02:00:00,0.5,100.0,1009.4,1,0,234.0
02:15:00,0.5,100.0,1009.4,1,0,234.0
02:30:00,0.5,100.0,1009.4,1,0,234.0
02:45:00,0.5,100.0,1009.4,1,0,234.0
03:00:00,0.5,100.0,1009.4,1,0,234.0
03:15:00,0.5,100.0,1009.4,1,0,234.0
03:30:00,0.5,100.0,1009.4,1,0,234.0
03:45:00,0.5,100.0,1009.4,1,"0,5",276.0
04:00:00,0.5,100.0,1009.4,1,"1,5",259.0
04:15:00,0.5,100.0,1009.4,1,"2,5",261.0
04:30:00,0.5,100.0,1009.4,1,"3,5",284.0
04:45:00,0.5,100.0,1009.4,1,"4,5",284.0
05:00:00,0.5,100.0,1009.4,1,"5,5",273.0
05:15:00,0.5,100.0,1009.4,1,"4,5",248.0
05:30:00,0.5,100.0,1009.4,1,"3,5",245.0
05:45:00,0.5,100.0,1009.4,1,"2,5",234.0
06:00:00,0.5,100.0,1009.4,1,"1,5",244.0
06:15:00,0.5,100.0,1009.4,1,"0,5",240.0
06:30:00,0.5,100.0,1009.4,1,0,287.0
06:45:00,0.5,100.0,1009.4,1,0,287.0
07:00:00,0.5,100.0,1009.4,1,0,287.0
07:15:00,0.5,100.0,1009.4,1,"0,3",207.0
07:30:00,0.5,100.0,1009.4,1,"0,6",185.0
07:45:00,0.5,100.0,1009.4,1,"0,9",181.0
08:00:00,0.5,100.0,1009.4,1,"1,2",200.0
08:15:00,0.5,100.0,1009.4,1,"1,5",184.0
08:30:00,0.5,100.0,1009.4,1,"1,5",198.0
08:45:00,0.5,100.0,1009.4,1,"1,5",186.0
09:00:00,0.5,100.0,1009.4,1,"1,5",207.0
09:15:00,0.5,100.0,1009.4,1,"1,5",180.0
09:30:00,0.5,100.0,1009.4,1,1,182.0
09:45:00,0.5,100.0,1009.4,1,0,195.0
10:00:00,0.5,100.0,1009.4,1,0,195.0
10:15:00,0.5,100.0,1009.4,1,0,195.0
10:30:00,0.5,100.0,1009.4,1,0,195.0
10:45:00,0.5,100.0,1009.4,1,0,195.0
11:00:00,0.5,100.0,1009.4,1,0,195.0
11:15:00,0.5,100.0,1009.4,1,0,195.0
11:30:00,0.5,100.0,1009.4,1,0,195.0
11:45:00,0.5,100.0,1009.4,1,0,195.0
12:00:00,0.5,100.0,1009.4,1,0,195.0
12:15:00,0.5,100.0,1009.4,1,"0,2",78.0
12:30:00,0.5,100.0,1009.4,1,"1,2",87.0
12:45:00,0.5,100.0,1009.4,1,"1,1",70.0
13:00:00,0.5,100.0,1009.4,1,1,76.0
13:15:00,0.5,100.0,1009.4,1,"0,9",78.0
13:30:00,0.5,100.0,1009.4,1,"0,8",85.0
13:45:00,0.5,100.0,1009.4,1,"0,7",61.0
14:00:00,0.5,100.0,1009.4,1,"0,6",60.0
14:15:00,0.5,100.0,1009.4,1,"0,5",70.0
14:30:00,0.5,100.0,1009.4,1,3,69.0
14:45:00,0.5,100.0,1009.4,1,4,76.0
15:00:00,0.5,100.0,1009.4,1,3,82.0
15:15:00,0.5,100.0,1009.4,1,2,75.0
15:30:00,0.5,100.0,1009.4,1,"2,2",70.0
15:45:00,0.5,100.0,1009.4,1,"2,4",64.0
16:00:00,0.5,100.0,1009.4,1,"2,6",86.0
16:15:00,0.5,100.0,1009.4,1,"2,8",85.0
16:30:00,0.5,100.0,1009.4,1,3,62.0
16:45:00,0.5,100.0,1009.4,1,"3,2",88.0
17:00:00,0.5,100.0,1009.4,1,"3,4",88.0
17:15:00,0.5,100.0,1009.4,1,"3,6",63.0
17:30:00,0.5,100.0,1009.4,1,"3,8",61.0
17:45:00,0.5,100.0,1009.4,1,4,72.0
18:00:00,0.5,100.0,1009.4,1,"4,2",84.0
18:15:00,0.5,100.0,1009.4,1,"4,4",60.0
18:30:00,0.5,100.0,1009.4,1,5,74.0
18:45:00,0.5,100.0,1009.4,1,4,66.0
19:00:00,0.5,100.0,1009.4,1,5,75.0
19:15:00,0.5,100.0,1009.4,1,"3,3",87.0
19:30:00,0.5,100.0,1009.4,1,"2,3",63.0
19:45:00,0.5,100.0,1009.4,1,3,64.0
20:00:00,0.5,100.0,1009.4,1,"3,7",61.0
20:15:00,0.5,100.0,1009.4,1,1,68.0
20:30:00,0.5,100.0,1009.4,1,"1,1",86.0
20:45:00,0.5,100.0,1009.4,1,"1,2",83.0
21:00:00,0.5,100.0,1009.4,1,"1,3",63.0
21:15:00,0.5,100.0,1009.4,1,"1,4",66.0
21:30:00,0.5,100.0,1009.4,1,"1,5",82.0
21:45:00,0.5,100.0,1009.4,1,"1,6",77.0
22:00:00,0.5,100.0,1009.4,1,"1,7",89.0
22:15:00,0.5,100.0,1009.4,1,"1,8",85.0
22:30:00,0.5,100.0,1009.4,1,"1,9",83.0
22:45:00,0.5,100.0,1009.4,1,2,71.0
23:00:00,0.5,100.0,1009.4,1,"2,1",78.0
23:15:00,0.5,100.0,1009.4,1,"2,2",67.0
23:30:00,0.5,100.0,1009.4,1,"2,3",76.0
23:45:00,0.5,100.0,1009.4,1,"2,4",71.0
00:00:00,0.5,100.0,1009.4,2,"2,3",74.0
00:15:00,0.5,100.0,1009.4,2,"2,2",79.0
00:30:00,0.5,100.0,1009.4,2,"2,1",60.0
00:45:00,0.5,100.0,1009.4,2,2,86.0
01:00:00,0.5,100.0,1009.4,2,"1,9",82.0
01:15:00,0.5,100.0,1009.4,2,"2,2",69.0
01:30:00,0.5,100.0,1009.4,2,"2,4",83.0
01:45:00,0.5,100.0,1009.4,2,"2,6",84.0
02:00:00,0.5,100.0,1009.4,2,"2,8",61.0
02:15:00,0.5,100.0,1009.4,2,3,85.0
02:30:00,0.5,100.0,1009.4,2,"3,2",69.0
02:45:00,0.5,100.0,1009.4,2,"3,4",89.0
03:00:00,0.5,100.0,1009.4,2,"3,6",67.0
03:15:00,0.5,100.0,1009.4,2,"3,8",61.0
03:30:00,0.5,100.0,1009.4,2,4,73.0
03:45:00,0.5,100.0,1009.4,2,"4,2",88.0
04:00:00,0.5,100.0,1009.4,2,"4,4",76.0
04:15:00,0.5,100.0,1009.4,2,5,61.0
04:30:00,0.5,100.0,1009.4,2,4,73.0
04:45:00,0.5,100.0,1009.4,2,5,64.0
05:00:00,0.5,100.0,1009.4,2,"3,3",85.0
05:15:00,0.5,100.0,1009.4,2,"2,3",66.0
05:30:00,0.5,100.0,1009.4,2,3,74.0
05:45:00,0.5,100.0,1009.4,2,"3,7",80.0
06:00:00,0.5,100.0,1009.4,2,1,65.0
06:15:00,0.5,100.0,1009.4,2,"1,1",70.0
06:30:00,0.5,100.0,1009.4,2,"1,2",87.0
06:45:00,0.5,100.0,1009.4,2,"1,3",66.0
07:00:00,0.5,100.0,1009.4,2,"1,4",75.0
07:15:00,0.5,100.0,1009.4,2,"1,5",78.0
07:30:00,0.5,100.0,1009.4,2,"1,6",88.0
07:45:00,0.5,100.0,1009.4,2,"1,2",80.0
08:00:00,0.5,100.0,1009.4,2,"0,8",71.0
08:15:00,0.5,100.0,1009.4,2,"0,4",65.0
08:30:00,0.5,100.0,1009.4,2,0,88.0
08:45:00,0.5,100.0,1009.4,2,0,88.0
09:00:00,0.5,100.0,1009.4,2,0,88.0
09:15:00,0.5,100.0,1009.4,2,0,88.0
09:30:00,0.5,100.0,1009.4,2,0,88.0
09:45:00,0.5,100.0,1009.4,2,0,88.0
10:00:00,0.5,100.0,1009.4,2,0,88.0
10:15:00,0.5,100.0,1009.4,2,0,88.0
10:30:00,0.5,100.0,1009.4,2,0,88.0
10:45:00,0.5,100.0,1009.4,2,0,88.0
11:00:00,0.5,100.0,1009.4,2,0,88.0
