,battery_type,brand,car_body_type,cargo_volume_l,drivetrain,fast_charge_port,model,segment,source_url,top_speed_kmh,battery_capacity_kWh,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,towing_capacity_kg,seats,length_mm,width_mm,height_mm
0,Lithium-ion,Abarth,Hatchback,185,FWD,CCS,500e Convertible,B - Compact,https://ev-database.org/car/1904/Abarth-500e-Convertible,155.0,37.8,235.0,156.0,225.0,7.0,67.0,0.0,4.0,3673.0,1683.0,1518.0
1,Lithium-ion,Abarth,Hatchback,185,FWD,CCS,500e Hatchback,B - Compact,https://ev-database.org/car/1903/Abarth-500e-Hatchback,155.0,37.8,235.0,149.0,225.0,7.0,67.0,0.0,4.0,3673.0,1683.0,1518.0
2,Lithium-ion,Abarth,SUV,360,FWD,CCS,600e Scorpionissima,JB - Compact,https://ev-database.org/car/3057/Abarth-600e-Scorpionissima,200.0,50.8,345.0,158.0,280.0,5.9,79.0,0.0,5.0,4187.0,1779.0,1557.0
3,Lithium-ion,Abarth,SUV,360,FWD,CCS,600e Turismo,JB - Compact,https://ev-database.org/car/3056/Abarth-600e-Turismo,200.0,50.8,345.0,158.0,280.0,6.2,79.0,0.0,5.0,4187.0,1779.0,1557.0
4,Lithium-ion,Aiways,SUV,496,FWD,CCS,U5,JC - Medium,https://ev-database.org/car/1678/Aiways-U5,150.0,60.0,310.0,156.0,315.0,7.5,78.0,1052.2610619469026,5.0,4680.0,1865.0,1700.0
5,Lithium-ion,Aiways,SUV,472,FWD,CCS,U6,JC - Medium,https://ev-database.org/car/1766/Aiways-U6,160.0,60.0,315.0,150.0,350.0,7.0,78.0,1052.2610619469026,5.0,4805.0,1880.0,1641.0
6,Lithium-ion,Alfa,SUV,400,FWD,CCS,Romeo Junior Elettrica 54 kWh,JB - Compact,https://ev-database.org/car/2184/Alfa-Romeo-Junior-Elettrica-54-kWh,150.0,50.8,260.0,128.0,320.0,9.0,85.0,0.0,5.0,4173.0,1781.0,1532.0
7,Lithium-ion,Alfa,SUV,400,FWD,CCS,Romeo Junior Elettrica 54 kWh Veloce,JB - Compact,https://ev-database.org/car/2185/Alfa-Romeo-Junior-Elettrica-54-kWh-Veloce,200.0,50.8,345.0,164.0,310.0,6.0,85.0,0.0,5.0,4173.0,1781.0,1505.0
8,Lithium-ion,Alpine,Hatchback,326,FWD,CCS,A290 Electric 180 hp,B - Compact,https://ev-database.org/car/2268/Alpine-A290-Electric-180-hp,160.0,52.0,285.0,138.0,310.0,7.4,70.0,500.0,5.0,3997.0,1823.0,1512.0
9,Lithium-ion,Alpine,Hatchback,326,FWD,CCS,A290 Electric 220 hp,B - Compact,https://ev-database.org/car/2269/Alpine-A290-Electric-220-hp,170.0,52.0,300.0,144.0,305.0,6.4,70.0,500.0,5.0,3997.0,1823.0,1512.0
10,Lithium-ion,Audi,Station/Estate,502,RWD,CCS,A6 Avant e-tron,JE - Executive,https://ev-database.org/car/3055/Audi-A6-Avant-e-tron,210.0,75.8,435.0,146.0,465.0,6.0,150.0,2100.0,5.0,4928.0,1923.0,1455.0
11,Lithium-ion,Audi,Station/Estate,502,RWD,CCS,A6 Avant e-tron performance,JE - Executive,https://ev-database.org/car/2272/Audi-A6-Avant-e-tron-performance,210.0,94.9,565.0,151.0,575.0,5.4,200.0,2100.0,5.0,4928.0,1923.0,1455.0
12,Lithium-ion,Audi,Station/Estate,502,AWD,CCS,A6 Avant e-tron quattro,JE - Executive,https://ev-database.org/car/3054/Audi-A6-Avant-e-tron-quattro,210.0,94.9,855.0,157.0,560.0,4.5,200.0,2100.0,5.0,4928.0,1923.0,1455.0
13,Lithium-ion,Audi,Liftback Sedan,502,RWD,CCS,A6 Sportback e-tron,JE - Executive,https://ev-database.org/car/3053/Audi-A6-Sportback-e-tron,210.0,75.8,435.0,136.0,495.0,6.0,150.0,2100.0,5.0,4928.0,1923.0,1455.0
14,Lithium-ion,Audi,Liftback Sedan,502,RWD,CCS,A6 Sportback e-tron performance,JE - Executive,https://ev-database.org/car/2270/Audi-A6-Sportback-e-tron-performance,210.0,94.9,565.0,141.0,610.0,5.4,200.0,2100.0,5.0,4928.0,1923.0,1455.0
15,Lithium-ion,Audi,Liftback Sedan,502,AWD,CCS,A6 Sportback e-tron quattro,JE - Executive,https://ev-database.org/car/3052/Audi-A6-Sportback-e-tron-quattro,210.0,94.9,855.0,147.0,590.0,4.7,200.0,2100.0,5.0,4928.0,1923.0,1455.0
16,Lithium-ion,Audi,SUV,520,RWD,CCS,Q4 Sportback e-tron 40,JC - Medium,https://ev-database.org/car/3149/Audi-Q4-Sportback-e-tron-40,160.0,59.0,310.0,156.0,340.0,8.1,110.0,1000.0,5.0,4588.0,1865.0,1614.0
17,Lithium-ion,Audi,SUV,535,RWD,CCS,Q4 Sportback e-tron 45,JC - Medium,https://ev-database.org/car/2016/Audi-Q4-Sportback-e-tron-45,180.0,77.0,545.0,162.0,435.0,6.7,120.0,1000.0,5.0,4588.0,1865.0,1614.0
18,Lithium-ion,Audi,SUV,535,AWD,CCS,Q4 Sportback e-tron 45 quattro,JC - Medium,https://ev-database.org/car/2017/Audi-Q4-Sportback-e-tron-45-quattro,180.0,77.0,679.0,165.0,410.0,6.6,120.0,1200.0,5.0,4588.0,1865.0,1614.0
19,Lithium-ion,Audi,SUV,535,AWD,CCS,Q4 Sportback e-tron 55 quattro,JC - Medium,https://ev-database.org/car/2018/Audi-Q4-Sportback-e-tron-55-quattro,180.0,77.0,679.0,165.0,415.0,5.4,120.0,1200.0,5.0,4588.0,1865.0,1614.0
20,Lithium-ion,Audi,SUV,520,RWD,CCS,Q4 e-tron 40,JC - Medium,https://ev-database.org/car/3148/Audi-Q4-e-tron-40,160.0,59.0,310.0,159.0,325.0,8.1,110.0,1000.0,5.0,4588.0,1865.0,1632.0
21,Lithium-ion,Audi,SUV,520,RWD,CCS,Q4 e-tron 45,JC - Medium,https://ev-database.org/car/2013/Audi-Q4-e-tron-45,180.0,77.0,545.0,169.0,420.0,6.7,120.0,1000.0,5.0,4588.0,1865.0,1632.0
22,Lithium-ion,Audi,SUV,520,AWD,CCS,Q4 e-tron 45 quattro,JC - Medium,https://ev-database.org/car/2014/Audi-Q4-e-tron-45-quattro,180.0,77.0,679.0,171.0,395.0,6.6,120.0,1200.0,5.0,4588.0,1865.0,1632.0
23,Lithium-ion,Audi,SUV,520,AWD,CCS,Q4 e-tron 55 quattro,JC - Medium,https://ev-database.org/car/2015/Audi-Q4-e-tron-55-quattro,180.0,77.0,679.0,171.0,395.0,5.4,120.0,1200.0,5.0,4588.0,1865.0,1632.0
24,Lithium-ion,Audi,SUV,526,RWD,CCS,Q6 e-tron,JD - Large,https://ev-database.org/car/2281/Audi-Q6-e-tron,210.0,75.8,450.0,166.0,395.0,7.0,150.0,2000.0,5.0,4771.0,1939.0,1685.0
25,Lithium-ion,Audi,SUV,511,RWD,CCS,Q6 e-tron Sportback,JD - Large,https://ev-database.org/car/3041/Audi-Q6-e-tron-Sportback,210.0,75.8,450.0,139.0,410.0,7.0,150.0,2000.0,5.0,4771.0,1939.0,1665.0
26,Lithium-ion,Audi,SUV,511,RWD,CCS,Q6 e-tron Sportback performance,JD - Large,https://ev-database.org/car/3042/Audi-Q6-e-tron-Sportback-performance,210.0,94.9,485.0,145.0,510.0,6.6,190.0,2000.0,5.0,4771.0,1939.0,1665.0
27,Lithium-ion,Audi,SUV,511,AWD,CCS,Q6 e-tron Sportback quattro,JD - Large,https://ev-database.org/car/3043/Audi-Q6-e-tron-Sportback-quattro,210.0,94.9,855.0,149.0,500.0,5.9,200.0,2400.0,5.0,4771.0,1939.0,1665.0
28,Lithium-ion,Audi,SUV,526,RWD,CCS,Q6 e-tron performance,JD - Large,https://ev-database.org/car/2215/Audi-Q6-e-tron-performance,210.0,94.9,485.0,171.0,490.0,6.6,190.0,2000.0,5.0,4771.0,1939.0,1685.0
29,Lithium-ion,Audi,SUV,10 Banana Boxes,AWD,CCS,Q6 e-tron quattro,JD - Large,https://ev-database.org/car/2146/Audi-Q6-e-tron-quattro,210.0,94.9,855.0,176.0,480.0,5.9,200.0,2400.0,5.0,4771.0,1939.0,1685.0
30,Lithium-ion,Audi,Station/Estate,502,AWD,CCS,S6 Avant e-tron,JE - Executive,https://ev-database.org/car/2273/Audi-S6-Avant-e-tron,240.0,94.9,855.0,156.0,530.0,3.9,200.0,2100.0,5.0,4928.0,1923.0,1493.0
31,Lithium-ion,Audi,Liftback Sedan,502,AWD,CCS,S6 Sportback e-tron,JE - Executive,https://ev-database.org/car/2271/Audi-S6-Sportback-e-tron,240.0,94.9,855.0,149.0,555.0,3.9,200.0,2100.0,5.0,4928.0,1923.0,1465.0
32,Lithium-ion,Audi,SUV,514,AWD,CCS,SQ6 e-tron,JD - Large,https://ev-database.org/car/2147/Audi-SQ6-e-tron,230.0,94.9,855.0,169.0,470.0,4.3,200.0,2400.0,5.0,4771.0,1965.0,1685.0
33,Lithium-ion,Audi,SUV,511,AWD,CCS,SQ6 e-tron Sportback,JD - Large,https://ev-database.org/car/3044/Audi-SQ6-e-tron-Sportback,230.0,94.9,855.0,164.0,495.0,4.3,200.0,2400.0,5.0,4771.0,1965.0,1665.0
